longitude,latitude,Pop,east_west
-101.305,33.252,E130_EB,E
-101.275,33.277,E131_EB,E
-101.209,34.53,E100_EB,E
-101.148,33.409,E134_EB,E
-101.0739,33.43528,SH_E14,E
-101.054931,33.443032,SH_E15,E
-100.921,32.306,E97_EB,E
-100.916,32.746,E98_EB,E
-100.909,34.012,E215_EB,E
-100.854,33.651,E137_EB,E
-100.847,33.81,E141_EB,E
-100.837,33.738,E139_EB,E
-100.836,33.767,E213_EB,E
-100.822,34.302,E216_EB,E
-100.817,33.763,E140_EB,E
-100.814,34.965,E101_EB,E
-100.814,35.838,E103_EB,E
-100.802,37.131,E1_EB,E
-100.68,34.53,E202_EB,E
-100.629,35.293,E220_EB,E
-100.6,33.248,E185_EB,E
-100.558,33.858,E142_EB,E
-100.54,35.225,E219_EB,E
-100.53,31.889,E96_EB,E
-100.529,35.372,E222_EB,E
-100.458,35.372,E221_EB,E
-100.451,34.91,E218_EB,E
-100.424,34.012,E214_EB,E
-100.4,32.74,E197_EB,E
-100.336,34.91,E217_EB,E
-100.293,35.985,E149_EB,E
-100.2758676,35.903003,SH_E5,E
-100.273,36.278,E105_EB,E
-100.271,35.503,E148_EB,E
-100.256,33.617,E99_EB,E
-100.25,33.18,E199_EB,E
-100.2,35.503,E147_EB,E
-100.19934,35.44526,SH_E6,E
-100.1839,35.888,E195_EB,E
-100.12,34.481,E191_EB,E
-100.112279,35.448712,SH_EAUX8,E
-100.105,35.214,E145_EB,E
-99.92558333,35.767091,SH_E7,E
-99.89,32.3,E196_EB,E
-99.88,32.74,E198_EB,E
-99.868,35.892,E81_EB,E
-99.827,35.794,E80_EB,E
-99.81720607,35.79435,SH_E8,E
-99.771,34.802,E68_EB,E
-99.746,35.547,E77_EB,E
-99.742,35.709,E82_EB,E
-99.741,35.309,E70_EB,E
-99.718,35.538,E89_EB,E
-99.671,35.556,E78_EB,E
-99.639,35.849,E72_EB,E
-99.561,34.936,E64_EB,E
-99.493,32.406,E190_EB,E
-99.493,36.022,E91_EB,E
-99.428,36.41,E84_EB,E
-99.404,35.986,E83_EB,E
-99.297,36.454,E73_EB,E
-99.192,36.486,E85_EB,E
-99.137,35.928,E90_EB,E
-99.1,31.87,E114_EB,E
-99.1,37.317,E2_EB,E
-99.001,35.639,E66_EB,E
-98.992,35.29,E65_EB,E
-98.981,34.916,E63_EB,E
-98.53,36.31,E86_EB,E
-98.472,34.662,E62_EB,E
-98.433,35.875,E67_EB,E
-98.381,35.168,E88_EB,E
